picture_id	picture	hit	valence	condition	target	list	nback	control	picture_1	picture_2	hint
1	P10_5829.jpg	0	positive	2	0	1	1	-	-	10	1
2	P10_5829.jpg	1	positive	2	1	1	1	-	-	10	-
3	N10_7035.jpg	0	neutral	1	0	1	1	-	10	-	1
4	N10_7035.jpg	1	neutral	1	1	1	1	-	10	-	-
5	P11_2154.jpg	0	positive	2	0	1	1	1	-	11	-
6	P12_5202.jpg	0	positive	2	0	1	1	-	-	12	1
7	P12_5202.jpg	1	positive	2	1	1	1	-	-	12	-
8	N3_7600.jpg	0	neutral	1	0	1	1	-	3	-	1
9	N3_7600.jpg	1	neutral	1	1	1	1	-	3	-	-
10	P4_7580.jpg	0	positive	2	0	1	1	1	-	4	-
11	N4_7496.jpg	0	neutral	1	0	1	1	1	4	-	-
12	N7_7248.jpg	0	neutral	1	0	1	1	1	7	-	-
13	P6_7502.jpg	0	positive	2	0	1	1	1	-	6	-
14	N2_7061.jpg	0	neutral	1	0	1	1	-	2	-	1
15	N2_7061.jpg	1	neutral	1	1	1	1	-	2	-	-
16	P5_2314.jpg	0	positive	2	0	1	1	1	-	5	-
17	P1_1441.jpg	0	positive	2	0	1	1	-	-	1	1
18	P1_1441.jpg	1	positive	2	1	1	1	-	-	1	-
19	N9_7032.jpg	0	neutral	1	0	1	1	1	9	-	-
20	P9_1811.jpg	0	positive	2	0	1	1	1	-	9	-
21	N6_1616.jpg	0	neutral	1	0	1	1	-	6	-	1
22	N6_1616.jpg	1	neutral	1	1	1	1	-	6	-	-
23	N1_7504.jpg	0	neutral	1	0	1	1	1	1	-	-
24	P7_1721.jpg	0	positive	2	0	1	1	1	-	7	-
25	P2_5830.jpg	0	positive	2	0	1	1	-	-	2	1
26	P2_5830.jpg	1	positive	2	1	1	1	-	-	2	-
27	N9_7032.jpg	0	neutral	1	0	1	1	-	9	-	1
28	N9_7032.jpg	1	neutral	1	1	1	1	-	9	-	-
29	N5_7224.jpg	0	neutral	1	0	1	1	1	5	-	-
30	P8_1463.jpg	0	positive	2	0	1	1	-	-	8	1
31	P8_1463.jpg	1	positive	2	1	1	1	-	-	8	-
32	N1_7504.jpg	0	neutral	1	0	1	1	-	1	-	1
33	N1_7504.jpg	1	neutral	1	1	1	1	-	1	-	-
34	N8_1505.jpg	0	neutral	1	0	1	1	1	8	-	-
35	P3_5480.jpg	0	positive	2	0	1	1	-	-	3	1
36	P3_5480.jpg	1	positive	2	1	1	1	-	-	3	-
37	N7_7248.jpg	0	neutral	1	0	1	1	-	7	-	1
38	N7_7248.jpg	1	neutral	1	1	1	1	-	7	-	-
39	P12_5202.jpg	0	positive	2	0	1	1	1	-	12	-
40	P6_7502.jpg	0	positive	2	0	1	1	-	-	6	1
41	P6_7502.jpg	1	positive	2	1	1	1	-	-	6	-
42	N12_7002.jpg	0	neutral	1	0	1	1	1	12	-	-
43	N5_7224.jpg	0	neutral	1	0	1	1	-	5	-	1
44	N5_7224.jpg	1	neutral	1	1	1	1	-	5	-	-
45	P4_7580.jpg	0	positive	2	0	1	1	-	-	4	1
46	P4_7580.jpg	1	positive	2	1	1	1	-	-	4	-
47	P8_1463.jpg	0	positive	2	0	1	1	1	-	8	-
48	N11_7041.jpg	0	neutral	1	0	1	1	-	11	-	1
49	N11_7041.jpg	1	neutral	1	1	1	1	-	11	-	-
50	P11_2154.jpg	0	positive	2	0	1	1	-	-	11	1
51	P11_2154.jpg	1	positive	2	1	1	1	-	-	11	-
52	N2_7061.jpg	0	neutral	1	0	1	1	1	2	-	-
53	N3_7600.jpg	0	neutral	1	0	1	1	1	3	-	-
54	N6_1616.jpg	0	neutral	1	0	1	1	1	6	-	-
55	P5_2314.jpg	0	positive	2	0	1	1	-	-	5	1
56	P5_2314.jpg	1	positive	2	1	1	1	-	-	5	-
57	N8_1505.jpg	0	neutral	1	0	1	1	-	8	-	1
58	N8_1505.jpg	1	neutral	1	1	1	1	-	8	-	-
59	P1_1441.jpg	0	positive	2	0	1	1	1	-	1	-
60	P2_5830.jpg	0	positive	2	0	1	1	1	-	2	-
61	N4_7496.jpg	0	neutral	1	0	1	1	-	4	-	1
62	N4_7496.jpg	1	neutral	1	1	1	1	-	4	-	-
63	N10_7035.jpg	0	neutral	1	0	1	1	1	10	-	-
64	P3_5480.jpg	0	positive	2	0	1	1	1	-	3	-
65	P9_1811.jpg	0	positive	2	0	1	1	-	-	9	1
66	P9_1811.jpg	1	positive	2	1	1	1	-	-	9	-
67	N12_7002.jpg	0	neutral	1	0	1	1	-	12	-	1
68	N12_7002.jpg	1	neutral	1	1	1	1	-	12	-	-
69	N11_7041.jpg	0	neutral	1	0	1	1	1	11	-	-
70	P10_5829.jpg	0	positive	2	0	1	1	1	-	10	-
71	P7_1721.jpg	0	positive	2	0	1	1	-	-	7	1
72	P7_1721.jpg	1	positive	2	1	1	1	-	-	7	-
