iaps_num	iaps_jpg	valence	desc	valmn	valsd	aromn	arosd	dom1mn	dom1sd	dom2mn	dom2sd	set.
1121	1121.jpg	neutral	Lizard	5.79	1.61	4.83	1.98	5.89	1.99	.	.	11\
1350	1350.jpg	neutral	Pig	5.25	1.96	4.37	1.76	5.60	1.74	.	.	20\
1440	1440.jpg	positive	Seal	8.19	1.53	4.61	2.54	6.05	2.38	.	.	6\
1441	1441.jpg	positive	PolarBears	7.97	1.28	3.94	2.38	.	.	6.34	2.01	15\
1460	1460.jpg	positive	Kitten	8.21	1.21	4.31	2.63	6.00	2	.	.	5\
1463	1463.jpg	positive	Kittens	7.45	1.76	4.79	2.19	6.43	1.92	.	.	8\
1505	1505.jpg	neutral	DogRace	4.13	1.66	4.73	1.83	4.49	1.83	.	.	17\
1560	1560.jpg	neutral	Hawk	5.97	2.32	5.51	2.19	5.18	2.19	.	.	1\
1616	1616.jpg	neutral	Bird	5.21	1.12	3.95	1.95	5.67	1.77	.	.	11\
1721	1721.jpg	positive	Lion	7.3	1.39	4.53	2.21	5.57	2.07	.	.	10\
1750	1750.jpg	positive	Bunnies	8.28	1.07	4.1	2.31	6.15	2.01	.	.	3\
1811	1811.jpg	positive	Monkeys	7.62	1.59	5.12	2.25	6.07	1.96	5.99	1.95	7\
1908	1908.jpg	neutral	Jellyfish	5.28	1.53	4.88	2.15	4.75	1.6	.	.	17\
1920	1920.jpg	positive	Porpoise	7.9	1.48	4.27	2.53	6.50	2.18	.	.	4\
1999	1999.jpg	positive	Mickey	7.43	1.47	4.77	2.4	6.64	1.96	.	.	8\
2091	2091.jpg	positive	Girls	7.68	1.43	4.51	2.28	6.79	2.04	6.44	1.99	7\
2154	2154.jpg	positive	Family	8.03	1.13	4.48	2.31	.	.	6.38	1.9	16\
2191	2191.jpg	neutral	Farmer	5.3	1.62	3.61	2.14	.	.	5.8	2	14\
2301	2301.jpg	negative	KidCry	2.78	1.38	4.57	1.96	4.13	1.89	.	.	17\
2314	2314.jpg	positive	Binoculars	7.55	1.24	4	2.01	6.17	1.78	.	.	18\
2345	2345.jpg	positive	Children	7.41	1.72	5.42	2.47	6.51	2.07	.	.	12\
2530	2530.jpg	positive	Couple	7.8	1.55	3.99	2.11	5.99	1.9	.	.	3\
2597	2597.jpg	neutral	Market	5.61	1.26	4.09	2.1	.	.	5.18	1.83	16\
2750	2750.jpg	negative	Bum	2.56	1.32	4.31	1.81	4.48	2.16	.	.	6\
2751	2751.jpg	negative	DrunkDriving	2.67	1.87	5.18	2.39	4.01	2.33	.	.	9\
2799	2799.jpg	negative	Funeral	2.42	1.41	5.02	1.99	.	.	3.56	2.06	15\
5130	5130.jpg	neutral	Rocks	4.45	1.13	2.51	1.72	5.84	1.98	.	.	10\
5202	5202.jpg	positive	Garden	7.25	1.44	3.73	2.22	6.31	1.89	.	.	18\
5210	5210.jpg	positive	Seaside	8.03	1.09	4.6	2.48	6.19	2.08	.	.	18\
5395	5395.jpg	neutral	Boat	5.34	1.21	4.23	2.03	5.23	2.01	.	.	12\
5480	5480.jpg	positive	Fireworks	7.53	1.63	5.48	2.35	5.80	1.97	.	.	6\
5535	5535.jpg	neutral	Stilllife	4.81	1.52	4.11	2.31	5.61	2.25	.	.	12\
5731	5731.jpg	neutral	Flowers	5.39	1.58	2.74	1.95	6.13	1.77	.	.	8\
