condition	picture_id	picture
2	66	415.bmp
2	67	341.bmp
2	68	182.bmp
2	69	284.bmp
2	70	315.bmp
2	71	441.bmp
2	72	388.bmp
2	73	419.bmp
2	74	177.bmp
2	75	402.bmp
2	76	298.bmp
2	77	335.bmp
2	78	326.bmp
2	79	417.bmp
2	80	258.bmp
2	81	229.bmp
2	82	304.bmp
2	83	325.bmp
2	84	363.bmp
2	85	421.bmp
2	86	439.bmp
2	87	251.bmp
2	88	376.bmp
2	89	349.bmp
2	90	238.bmp
2	91	218.bmp
2	92	301.bmp
2	93	285.bmp
2	94	412.bmp
2	95	367.bmp
2	96	220.bmp
2	97	426.bmp
2	98	389.bmp
2	99	401.bmp
2	100	236.bmp
2	101	410.bmp
2	102	191.bmp
2	103	440.bmp
2	104	332.bmp
2	105	303.bmp
2	106	416.bmp
2	107	244.bmp
2	108	296.bmp
2	109	338.bmp
2	110	297.bmp
2	111	322.bmp
2	112	187.bmp
2	113	306.bmp
2	114	373.bmp
2	115	406.bmp
2	116	219.bmp
2	117	427.bmp
2	118	387.bmp
2	119	230.bmp
2	120	434.bmp
2	121	444.bmp
2	122	436.bmp
2	123	300.bmp
2	124	197.bmp
2	125	316.bmp
2	126	343.bmp
2	127	207.bmp
2	128	339.bmp
2	129	267.bmp
2	130	204.bmp
